Country,Total,PerCapita,Population,Total-Z,PerCapita-Z,Combined-Z_Total_PerCapita,MDI,Year
BEL,447,3.890684812751001e-05,11488980,-0.2918133818989741,-0.4421646347550607,-0.7339780166540348,16,2019
BGR,197,2.824064643269745e-05,6975761,-0.3476087930574643,-0.7859635189219851,-1.1335723119794494,11,2019
CAN,1184,3.14883316317046e-05,37601230,-0.1273285098037449,-0.6812823419208863,-0.8086108517246312,15,2019
CZE,655,6.137630986884211e-05,10671870,-0.24539159981511022,0.2820834242572086,0.0366918244420984,25,2019
DEU,3200,3.851108352594291e-05,83092962,0.3226056857783203,-0.4549211372387622,-0.13231545146044194,23,2019
DNK,446,7.670581873830279e-05,5814422,-0.292036563543608,0.7761925921637853,0.4841560286201773,31,2019
ESP,2102,4.4595465557672345e-05,47134837,0.0775522399702312,-0.2588059864844688,-0.1812537465142376,23,2019
EST,124,9.345406996242995e-05,1326855,-0.36390105311574344,1.316031444583258,0.9521303914675145,36,2019
FRA,5494,8.16964720001625e-05,67248926,0.8345843785686266,0.9370540751719167,1.7716384537405432,46,2019
GBR,3700,5.535911630811191e-05,66836327,0.4341965080953007,0.08813392928360922,0.5223304373789099,31,2019
GRC,272,2.5369390450028738e-05,10721582,-0.33087016970991723,-0.8785114222191069,-1.209381591929024,10,2019
HRV,245,6.0266851780196705e-05,4065253,-0.3368960741150342,0.24632276045016988,-0.09057331366486432,24,2019
HUN,842,8.617212667384494e-05,9771141,-0.2036566322685595,1.0813158402083731,0.8776592079398136,35,2019
ITA,4283,7.170711365875527e-05,59729081,0.5643114069169,0.6150715785358714,1.1793829854527713,39,2019
JPN,4,3.158734295167926e-08,126633000,-0.3906828504718188,-1.6952134389914804,-2.085896289463299,0,2019
KOR,613,1.1842018890743988e-05,51764822,-0.2547652288897366,-1.3145331083696061,-1.5692983372593428,6,2019
LTU,133,4.759967030965196e-05,2794137,-0.3618924183140378,-0.16197280527415292,-0.5238652235881907,19,2019
LUX,4,6.451602497415327e-06,620001,-0.3906828504718188,-1.4882799766781996,-1.8789628271500183,2,2019
LVA,58,3.030584871529327e-05,1913822,-0.37863104166158484,-0.7193967821725067,-1.0980278238340915,12,2019
MKD,52,2.5039798834108442e-05,2076694,-0.37997013152938863,-0.8891350006049611,-1.2691051321343498,10,2019
MNE,41,6.591343154970515e-05,622028,-0.3824251296203622,0.42832642770321533,0.04590129808285315,26,2019
NLD,501,2.8884614555285902e-05,17344874,-0.27976157308874017,-0.7652067839267476,-1.0449683570154877,12,2019
